x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
-0.19528,1813.16939,1000.47742,19.92780,0.00000,KTH Biblioteket,-2.11119,1.07467,5475.23204,-89185.68603,True,False,0.39055
0.96711,1039.24998,1000.59127,-96.24958,0.00000,Brinnelvägen 8,0.29538,0.28703,5474.36969,-89187.04831,True,False,-1.93421
-0.36744,791.84564,1000.87490,36.95219,0.00000,Entrée,-2.22641,2.15474,5473.33639,-89184.93092,False,False,0.73489
-1.72245,-92.98303,1000.48905,172.32768,-0.00000,N/A,-3.72120,2.82907,5473.57009,-89186.46529,False,False,3.44490
2.33596,-1265.86780,1000.51694,-233.36179,-0.00000,Lindstedsvägen 24,4.64681,-3.01512,5475.74198,-89186.14419,True,False,-4.67193
0.40395,-161.39666,1000.46470,-40.23595,-0.00000,N/A,-1.24328,-2.31069,5474.33612,-89184.45504,False,False,-0.80791
1.14572,-1455.19498,1000.59470,-114.33642,-0.00000,Lindstedsvägen 24,1.05533,-1.88848,5480.46971,-89186.15704,False,False,-2.29145
2.07435,126.81509,1000.36776,-207.23580,0.00000,N/A,1.45130,-2.04158,5477.57978,-89185.00149,True,False,-4.14870
1.02123,803.61836,1000.80753,-101.56136,0.00000,Entrée,1.56180,-0.35138,5473.11954,-89186.93400,True,False,-2.04247
0.11588,184.14484,1000.91618,-11.26820,0.00000,N/A,0.91515,-0.38541,5471.65735,-89186.27406,False,False,-0.23175
-0.70980,771.40655,1000.94830,71.53513,0.00000,Entrée,-0.46642,-0.94815,5475.23199,-89186.98879,False,False,1.41960
1.10441,560.93116,1000.83000,-110.13924,0.00000,Slussen,1.78275,-2.29715,5479.72051,-89186.00549,True,False,-2.20881
1.00152,439.60302,1000.69822,-99.89012,0.00000,Slussen,0.78700,-1.70385,5477.20531,-89185.29010,True,False,-2.00304
0.31063,-252.37344,1000.95068,-30.66286,-0.00000,N/A,-1.50050,-0.86823,5477.58151,-89186.30062,False,False,-0.62127
1.22072,-352.66319,1000.69923,-121.59047,-0.00000,Slussen,2.71988,-3.83239,5471.73228,-89186.36469,False,False,-2.44144
-1.07626,1580.83426,1000.08781,107.65102,0.00000,Östra stationen,-1.50812,0.48545,5474.41344,-89184.86889,False,False,2.15252
0.47005,1088.15841,1000.68612,-46.48169,0.00000,Brinnelvägen 8,-1.21119,-0.84964,5475.83560,-89187.86778,True,False,-0.94009
0.79840,1764.77815,1000.49555,-79.69750,0.00000,Östra stationen,0.67673,-0.21793,5476.59682,-89187.22638,True,False,-1.59680
-0.00208,70.40659,1000.65908,0.62425,0.00000,N/A,-0.32363,-0.77087,5474.99058,-89185.74847,False,False,0.00415
1.10011,1048.19853,1000.75882,-109.79792,0.00000,Brinnelvägen 8,0.09895,-0.29413,5473.92320,-89187.16528,True,False,-2.20021
1.62464,-27.45565,1000.83467,-162.17658,-0.00000,N/A,4.75558,-3.23983,5473.36987,-89187.51397,True,False,-3.24927
1.92680,-1154.04758,1000.64741,-192.57245,-0.00000,Brinnelvägen 8,0.41365,-3.18816,5474.43005,-89186.34727,False,False,-3.85360
1.45954,-982.04685,1000.57694,-145.91379,-0.00000,Brinnelvägen 8,1.92353,-2.79601,5475.38739,-89184.60725,False,False,-2.91907
0.91847,499.67032,1000.89637,-91.58683,0.00000,Slussen,-0.13190,-1.03179,5474.04431,-89186.27926,True,False,-1.83694
1.76425,89.33265,1000.96322,-175.86508,0.00000,N/A,2.36926,-3.01792,5475.40939,-89186.49430,True,False,-3.52851
2.49523,-95.78836,1000.80378,-248.95846,-0.00000,N/A,2.86082,-1.95241,5473.00821,-89186.80217,True,False,-4.99047
0.68246,306.65549,1000.41629,-68.15914,0.00000,Slussen,-0.50608,-0.77094,5474.57685,-89187.36226,False,False,-1.36493
-0.04933,-192.85245,1000.34744,4.97470,-0.00000,N/A,2.22504,3.11047,5476.28328,-89183.76392,False,False,0.09866
0.48858,-9.21424,1000.88481,-48.61792,-0.00000,N/A,2.63306,-2.53772,5474.07946,-89184.94641,False,False,-0.97715
1.13550,-751.43630,1000.52890,-113.38800,-0.00000,Entrée,3.67365,-2.91790,5472.95594,-89186.01860,False,False,-2.27100
-1.00038,1421.98880,1000.82389,100.34086,0.00000,Östra stationen,-3.35470,0.86530,5475.26366,-89184.16035,False,False,2.00076
2.55281,-1256.45176,1000.56558,-254.79936,-0.00000,Lindstedsvägen 24,3.03923,-1.20334,5472.39181,-89185.53087,True,False,-5.10563
0.66052,-704.11208,1000.52626,-65.64418,-0.00000,Slussen,-0.10663,-0.77478,5475.37908,-89186.19883,False,False,-1.32104
1.47284,77.78451,1000.43870,-147.00442,0.00000,N/A,1.84225,-3.09157,5473.56229,-89186.37404,True,False,-2.94568
-0.19788,228.09111,1000.75267,20.16713,0.00000,Slussen,2.04354,1.50742,5474.19408,-89187.47650,False,False,0.39576
1.57934,-417.16371,1000.71331,-157.71919,-0.00000,Slussen,1.20582,-3.48627,5475.41046,-89184.03744,True,False,-3.15868
2.25848,-1423.16327,1000.76789,-225.71570,-0.00000,Lindstedsvägen 24,2.65877,-0.47036,5473.05056,-89188.60129,False,False,-4.51695
1.44937,844.08251,1000.89118,-144.54652,0.00000,Entrée,1.37095,-4.73675,5473.07371,-89187.20636,True,False,-2.89873
1.65172,-314.67846,1001.03907,-164.80947,-0.00000,Slussen,0.74091,-1.73818,5473.39844,-89187.18216,True,False,-3.30344
2.58158,-990.05608,1000.72225,-257.77730,-0.00000,Brinnelvägen 8,3.52974,-1.39910,5471.70506,-89184.47529,True,False,-5.16317
0.19830,-550.76008,1000.64508,-19.42813,-0.00000,Slussen,0.06762,1.75544,5472.58498,-89185.94058,False,False,-0.39660
1.19423,27.05320,1000.86202,-119.01005,0.00000,N/A,2.18707,-0.19562,5473.63766,-89186.46362,True,False,-2.38846
-1.02389,-1172.26158,1000.89865,102.74872,-0.00000,Entrée,-0.24345,-0.43375,5474.06066,-89189.17166,False,False,2.04778
-0.16331,-677.38034,1000.59454,16.85290,-0.00000,Slussen,-0.35874,1.22490,5475.03711,-89186.31855,False,False,0.32662
1.20842,-457.56199,1000.32983,-120.69479,-0.00000,Slussen,2.30638,0.64630,5473.41544,-89184.63442,False,False,-2.41684
2.13294,-56.12076,1000.28436,-213.01929,-0.00000,N/A,2.08838,-1.98298,5477.08452,-89186.63850,True,False,-4.26587
1.38850,1300.65683,1000.68856,-138.77673,0.00000,Brinnelvägen 8,0.92285,-3.87483,5475.27350,-89186.20818,True,False,-2.77699
0.79075,-472.96780,1000.59662,-78.82775,-0.00000,Slussen,0.05438,-1.13630,5473.95931,-89184.49152,False,False,-1.58150
2.57194,-594.19191,1000.33754,-256.86187,-0.00000,Entrée,0.87712,-2.92774,5472.77576,-89184.77083,True,False,-5.14388
-0.88983,1487.67475,1000.36226,89.12766,0.00000,Östra stationen,-0.57045,1.40900,5478.70662,-89186.39550,False,False,1.77965
-0.59618,726.51795,1000.92114,60.18310,0.00000,Entrée,-0.52913,0.20992,5474.46786,-89188.43825,False,False,1.19237
0.90925,-169.46474,1000.70443,-90.41552,-0.00000,N/A,1.37573,-2.44071,5472.85640,-89185.05680,False,False,-1.81851
-0.22662,1032.79239,1000.71070,22.73607,0.00000,Brinnelvägen 8,-0.15292,-0.06389,5473.00170,-89185.91512,False,False,0.45325
1.12296,638.50902,1000.77740,-112.06088,0.00000,Slussen,0.84854,-0.19383,5474.43107,-89185.45428,True,False,-2.24592
0.96991,-590.51079,1001.04606,-96.60814,-0.00000,Slussen,0.28517,-1.90000,5473.77532,-89185.11344,False,False,-1.93981
1.17510,1904.02762,1000.69052,-117.38801,0.00000,Östra stationen,1.58855,-1.65654,5473.98926,-89186.81442,True,False,-2.35021
0.80817,1331.10091,1000.38801,-80.55749,0.00000,Lindstedsvägen 24,1.14403,-1.75460,5475.32242,-89187.48828,True,False,-1.61634
0.27854,1475.84446,1000.42715,-27.78414,0.00000,Lindstedsvägen 24,-0.63263,-0.69445,5472.93550,-89184.96005,True,False,-0.55709
1.98352,-293.74077,1001.30038,-197.75433,-0.00000,Slussen,2.43092,-2.30326,5471.62225,-89186.95663,True,False,-3.96703
1.36415,958.50217,1000.63438,-136.18339,0.00000,Entrée,1.60969,-0.93010,5475.62788,-89186.03553,True,False,-2.72829
0.11213,-1647.97081,1000.67143,-10.99205,-0.00000,Lindstedsvägen 24,-0.20741,-0.67655,5476.80322,-89185.46323,False,False,-0.22426
1.09453,-219.47379,1000.63383,-109.21454,-0.00000,N/A,0.76337,-0.15189,5474.30421,-89184.92957,False,False,-2.18905
3.18171,-406.69586,1000.41457,-318.06216,-0.00000,Slussen,3.14438,-2.20537,5474.75590,-89185.92573,True,False,-6.36343
1.67764,374.94922,1001.09198,-167.24749,0.00000,Slussen,-0.36445,0.79193,5474.20867,-89187.27933,True,False,-3.35527
-0.08155,-1170.41851,1000.65239,8.38331,-0.00000,Brinnelvägen 8,0.21866,0.75233,5478.36478,-89185.98294,False,False,0.16310
3.19811,-1772.09725,1000.73554,-319.41401,-0.00000,KTH Biblioteket,2.83306,-4.48592,5474.00617,-89186.25794,True,False,-6.39621
0.26715,551.19987,1000.65871,-26.38203,0.00000,Slussen,0.79905,-0.12912,5474.64021,-89186.25166,False,False,-0.53430
0.47097,232.49036,1000.80238,-46.53996,0.00000,N/A,0.05421,2.31069,5474.78026,-89185.19733,False,False,-0.94193
1.44132,1727.70490,1000.69954,-143.70668,0.00000,Östra stationen,3.83868,-2.49467,5477.47230,-89185.67864,True,False,-2.88264
0.75205,-159.21772,1000.39124,-74.86828,-0.00000,N/A,-0.77954,1.80918,5473.97234,-89186.85431,False,False,-1.50410
-0.37023,2058.64212,1000.21287,37.05693,0.00000,KTH Biblioteket,-0.21604,0.63283,5475.05833,-89185.07720,True,True,0.74045
2.48831,1419.61809,1000.14455,-248.71004,0.00000,Brinnelvägen 8,2.45586,-1.27858,5477.59950,-89185.75942,True,False,-4.97662
1.58255,-1842.69989,1000.49081,-158.08983,-0.00000,KTH Biblioteket,0.16759,0.25134,5474.76469,-89184.31348,False,False,-3.16510
0.13131,-57.68338,1000.29567,-12.89161,-0.00000,N/A,-0.42917,-0.84351,5481.76809,-89185.29683,False,False,-0.26263
-0.31886,498.82937,1000.41850,32.11844,0.00000,Slussen,-0.07742,0.61122,5475.80767,-89185.43273,False,False,0.63771
-0.98513,1007.51244,1000.33823,98.76567,0.00000,Brinnelvägen 8,-0.30454,0.30787,5473.99357,-89186.76415,False,False,1.97026
1.92901,855.16354,1000.73619,-192.50051,0.00000,Entrée,1.81699,-2.79855,5475.34544,-89185.90926,True,False,-3.85802
1.89053,543.93066,1000.87765,-188.72968,0.00000,Slussen,3.35185,-1.08991,5474.84256,-89183.04195,True,False,-3.78106
0.20330,-512.52344,1000.67069,-20.17975,-0.00000,Slussen,0.24132,-1.13458,5480.03481,-89187.63825,False,False,-0.40660
1.72639,187.06881,1000.73127,-172.40796,0.00000,N/A,2.26892,-1.93908,5475.66827,-89186.23508,True,False,-3.45278
1.52920,70.01130,1000.46282,-152.63069,0.00000,N/A,1.65939,-3.02772,5473.74650,-89185.88195,True,False,-3.05840
0.77482,197.74027,1000.23987,-77.40076,0.00000,N/A,2.44220,-3.25948,5477.81113,-89187.40490,False,False,-1.54965
1.91233,414.46806,1000.18250,-191.08097,0.00000,Slussen,2.66943,-1.92081,5473.30107,-89186.42836,True,False,-3.82466
2.87735,-3050.65290,1000.91394,-287.36043,-0.00001,KTH Biblioteket,3.51432,-3.14135,5472.53561,-89187.68695,False,False,-5.75470
2.35124,-809.05350,1000.52517,-234.92064,-0.00000,Entrée,3.21667,-3.98781,5473.36277,-89185.45999,True,False,-4.70249
1.14209,-1779.35923,1000.65316,-113.77214,-0.00000,Östra stationen,0.72286,1.59543,5474.50588,-89186.85139,False,False,-2.28418
1.57874,401.02472,1000.42211,-157.62034,0.00000,Slussen,2.84636,1.21612,5474.40079,-89188.60786,True,False,-3.15749
0.08621,938.86760,1000.88491,-8.21161,0.00000,Brinnelvägen 8,1.49739,-0.63026,5476.55684,-89184.74922,True,False,-0.17242
1.03709,-304.52234,1000.72361,-103.59450,-0.00000,Slussen,1.50947,-1.29251,5472.92718,-89184.63954,False,False,-2.07419
0.97326,847.22815,1000.44033,-97.14682,0.00000,Entrée,1.18674,-0.83696,5473.71940,-89184.86816,True,False,-1.94652
1.30077,-1050.67851,1000.48129,-129.67343,-0.00000,Brinnelvägen 8,0.98177,-2.05463,5473.54692,-89185.28881,False,False,-2.60154
