y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Dragspel,1.42038,735.17784,1001.01801,-141.68616,0.00000,Slussen,0.95499,-1.69662,5473.72196,-89187.80109,True,False,-2.84076
Serpent,-0.30564,-1172.52474,1000.63509,30.72446,-0.00000,Brinnelvägen 8,-2.29523,-0.28491,5475.64233,-89185.65052,False,False,0.61127
Dragspel,1.41124,-2270.39585,1000.30931,-140.91191,-0.00000,KTH Biblioteket,0.90352,-0.55290,5475.40290,-89187.49450,False,False,-2.82248
Dragspel,0.40752,-1691.50839,1000.62735,-40.61188,-0.00000,Östra stationen,3.56674,-1.05227,5475.19784,-89185.42391,False,False,-0.81505
Serpent,-0.33494,188.67147,1000.64021,33.90150,0.00000,Slussen,1.33713,-0.85736,5474.62033,-89185.55029,False,False,0.66987
Dragspel,0.92413,-75.72260,1000.64459,-92.23841,-0.00000,N/A,2.24551,-2.12508,5473.24562,-89185.34166,False,False,-1.84827
Nyckelharpa,0.31004,745.45539,1000.37648,-30.86107,0.00000,Entrée,-0.10644,-0.90621,5478.79600,-89185.31875,True,False,-0.62008
Dragspel,0.81579,-1298.87535,1000.87766,-81.18223,-0.00000,Brinnelvägen 8,0.41016,0.39174,5475.17961,-89186.81857,False,False,-1.63159
Serpent,-1.73332,814.89116,1000.54714,173.38498,0.00000,Brinnelvägen 8,-3.40209,3.57568,5476.04330,-89185.17981,False,False,3.46665
Nyckelharpa,0.26826,25.54883,1000.46268,-26.56750,0.00000,N/A,0.52394,0.77330,5476.32547,-89186.95948,False,False,-0.53651
Dragspel,0.51323,-333.68805,1000.43337,-51.05941,-0.00000,N/A,-1.17073,0.34071,5471.36706,-89185.50881,False,False,-1.02645
Nyckelharpa,0.20248,737.52954,1000.75532,-19.96770,0.00000,Entrée,-0.01635,0.59778,5478.59736,-89185.39120,False,False,-0.40496
Dragspel,2.20176,148.68755,1000.68098,-219.83922,0.00000,N/A,2.14555,-1.41498,5473.84569,-89186.14479,True,False,-4.40352
Dragspel,1.64065,-183.24552,1000.64876,-163.87943,-0.00000,N/A,1.44556,-1.40314,5474.35319,-89186.41818,True,False,-3.28129
Dragspel,0.99711,-164.01182,1001.14527,-99.14797,-0.00000,N/A,1.90578,0.09718,5474.15276,-89185.19283,False,False,-1.99422
Serpent,0.91127,-1108.48648,1000.76476,-90.69210,-0.00000,Brinnelvägen 8,1.68927,-0.85571,5477.22524,-89189.13672,False,False,-1.82255
Nyckelharpa,0.88293,-22.13674,1000.60994,-88.01033,-0.00000,N/A,1.29819,-1.94576,5476.92887,-89185.56962,False,False,-1.76586
Serpent,0.32842,63.90896,1000.83098,-32.48699,0.00000,N/A,-0.11177,-1.95645,5476.45076,-89184.66885,False,False,-0.65684
Dragspel,0.49861,357.92848,1000.71278,-49.33165,0.00000,Slussen,3.80971,-4.04651,5474.77748,-89186.94982,False,False,-0.99722
Nyckelharpa,0.14186,-227.25296,1000.45735,-14.04243,-0.00000,N/A,0.70293,-0.62280,5475.76497,-89185.84748,False,False,-0.28372
Dragspel,0.36849,1241.79361,1000.95239,-36.48459,0.00000,Lindstedsvägen 24,-0.44218,2.78709,5474.33681,-89186.94805,True,False,-0.73697
